1,Bulbasaur,1,Grass,Poison,Overgrow,,Chlorophyll,318,3
2,Ivysaur,1,Grass,Poison,Overgrow,,Chlorophyll,405,3
3,Venusaur,1,Grass,Poison,Overgrow,,Chlorophyll,525,3
3,Mega Venusaur,1,Grass,Poison,Thick Fat,,,625,3
4,Charmander,1,Fire,,Blaze,,Solar Power,309,3
5,Charmeleon,1,Fire,,Blaze,,Solar Power,405,3
6,Charizard,1,Fire,Flying,Blaze,,Solar Power,534,3
6,Mega Charizard X,1,Fire,Dragon,Tough Claws,,,634,3
6,Mega Charizard Y,1,Fire,Flying,Drought,,,634,3
7,Squirtle,1,Water,,Torrent,,Rain Dish,314,3
8,Wartortle,1,Water,,Torrent,,Rain Dish,405,3
9,Blastoise,1,Water,,Torrent,,Rain Dish,530,3
9,Mega Blastoise,1,Water,,Mega Launcher,,,630,3
10,Caterpie,1,Bug,,Shield Dust,,Run Away,195,3
11,Metapod,1,Bug,,Shed Skin,,,205,3
12,Butterfree,1,Bug,Flying,Compound Eyes,,Tinted Lens,395,3
13,Weedle,1,Bug,Poison,Shield Dust,,Run Away,195,3
14,Kakuna,1,Bug,Poison,Shed Skin,,,205,3
15,Beedrill,1,Bug,Poison,Swarm,,Sniper,395,3
15,Mega Beedrill,1,Bug,Poison,Adaptability,,,495,3
16,Pidgey,1,Normal,Flying,Keen Eye,Tangled Feet,Big Pecks,251,3
17,Pidgeotto,1,Normal,Flying,Keen Eye,Tangled Feet,Big Pecks,349,3
18,Pidgeot,1,Normal,Flying,Keen Eye,Tangled Feet,Big Pecks,479,3
18,Mega Pidgeot,1,Normal,Flying,No Guard,,,579,3
19,Rattata,1,Normal,,Run Away,Guts,Hustle,253,2
19,Alolan Rattata,1,Dark,Normal,Gluttony,Hustle,Thick Fat,253,2
20,Raticate,1,Normal,,Run Away,Guts,Hustle,413,2
20,Alolan Raticate,1,Dark,Normal,Gluttony,Hustle,Thick Fat,413,2
21,Spearow,1,Normal,Flying,Keen Eye,,Sniper,262,2
22,Fearow,1,Normal,Flying,Keen Eye,,Sniper,442,2
23,Ekans,1,Poison,,Intimidate,Shed Skin,Unnerve,288,2
24,Arbok,1,Poison,,Intimidate,Shed Skin,Unnerve,448,2
25,Pikachu,1,Electric,,Static,,Lightning Rod,320,3
26,Raichu,1,Electric,,Static,,Lightning Rod,485,3
26,Alolan Raichu,1,Electric,Psychic,Surge Surfer,,,485,3
27,Sandshrew,1,Ground,,Sand Veil,,Sand Rush,300,2
27,Alolan Sandshrew,1,Ice,Steel,Snow Cloak,,Slush Rush,300,2
28,Sandslash,1,Ground,,Sand Veil,,Sand Rush,450,2
28,Alolan Sandslash,1,Ice,Steel,Snow Cloak,,Slush Rush,450,2
29,Nidoran F,1,Poison,,Poison Point,Rivalry,Hustle,275,3
30,Nidorina,1,Poison,,Poison Point,Rivalry,Hustle,365,3
31,Nidoqueen,1,Poison,Ground,Poison Point,Rivalry,Sheer Force,505,3
32,Nidoran M,1,Poison,,Poison Point,Rivalry,Hustle,273,3
33,Nidorino,1,Poison,,Poison Point,Rivalry,Hustle,365,3
34,Nidoking,1,Poison,Ground,Poison Point,Rivalry,Sheer Force,505,3
35,Clefairy,1,Fairy,,Cute Charm,Magic Guard,Friend Guard,323,3
36,Clefable,1,Fairy,,Cute Charm,Magic Guard,Unaware,483,3
37,Vulpix,1,Fire,,Flash Fire,,Drought,299,2
37,Alolan Vulpix,1,Ice,,Snow Cloak,,Snow Warning,299,2
38,Ninetales,1,Fire,,Flash Fire,,Drought,505,2
38,Alolan Ninetales,1,Ice,Fairy,Snow Cloak,,Snow Warning,505,2
39,Jigglypuff,1,Normal,Fairy,Cute Charm,Competitive,Friend Guard,270,3
40,Wigglytuff,1,Normal,Fairy,Cute Charm,Competitive,Frisk,435,3
41,Zubat,1,Poison,Flying,Inner Focus,,Infiltrator,245,3
42,Golbat,1,Poison,Flying,Inner Focus,,Infiltrator,455,3
43,Oddish,1,Grass,Poison,Chlorophyll,,Run Away,320,3
44,Gloom,1,Grass,Poison,Chlorophyll,,Stench,395,3
45,Vileplume,1,Grass,Poison,Chlorophyll,,Effect Spore,490,3
46,Paras,1,Bug,Grass,Effect Spore,Dry Skin,Damp,285,2
47,Parasect,1,Bug,Grass,Effect Spore,Dry Skin,Damp,405,2
48,Venonat,1,Bug,Poison,Compound Eyes,Tinted Lens,Run Away,305,2
49,Venomoth,1,Bug,Poison,Shield Dust,Tinted Lens,Wonder Skin,450,2
